Gibson Les Paul;color: goldtop;2;22;6;24.75;10.55;10;13;17;25;34;46
Fender Stratocaster;-;3;24;6;25.5;9.75;9;11;16;24;32;42
My first gibson les paul;hehe;2;24;4;25;10;10;20;30;40
blender mega stratocaster;avivaavivaavivaavivaaviva;3;22;3;25.75;9.55;10;20;30
PRS Custom 24;pls help me;2;24;6;25;10.7;10;13;17;30;42;52
Ibanez prestige;metal machine;3;24;7;25.5;11;9;11;16;24;32;42;54
Dean razorback;Dimebag Darrel's signature;2;24;6;25.5;10.5;24;34;44;56;72;84
ESP Mirage;With original floyd rose;2;24;6;24.75;12;9;11;16;24;32;42
Epiphone Les Paul;;2;22;6;24.75;10.55;10;13;17;30;42;52
Inspector Arrow;Multimenzure;2;24;6;25.5;12;10;13;17;26;36;46
Gibson Flying V;70's reissue;2;22;6;24.75;10.55;12;16;20;34;46;60
Burny Les Paul;Good Japan copy;2;22;6;24.75;10.55;10;13;17;30;42;52
